@relation InstanceResultListener

@attribute Key_Dataset {haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.bayes.NaiveBayes,weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-C 0.25 -M 2','','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-217733168393644444,5995231201785697655,-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 19\nSize of the tree: 21\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 10\nSize of the tree: 11\n','Number of leaves: 28\nSize of the tree: 31\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,22,9,0,70.967742,29.032258,0,0.085246,0.382488,0.486953,95.422097,107.093051,27.024229,1100.790789,-1073.76656,0.871749,35.50938,-34.637631,0.266862,0.008608,0.987491,0.954545,21,0.888889,8,0.111111,1,0.045455,1,0.724138,0.954545,0.823529,0.12131,0.492424,0.705833,0.709677,0.644021,0.355979,0.290323,0.659066,0.709677,0.637226,0.12131,0.492424,0.591965,0.502674,0.709677,0.001,0,0,0,0,0,7555,19192,4308,96.774194,96.774194,'Number of leaves: 19\nSize of the tree: 21\n',21,19,19
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0,0.001,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,22,9,0,70.967742,29.032258,0,-0.060837,0.364859,0.457686,94.198592,104.574841,25.547654,27.395786,-1.848132,0.824118,0.883735,-0.059617,0.715969,0.023096,2.802486,0.956522,22,1,8,0,0,0.043478,1,0.733333,0.956522,0.830189,-0.107676,0.538043,0.757895,0.709677,0.753156,0.246844,0.290323,0.544086,0.709677,0.615946,-0.107676,0.538043,0.636711,0.415094,0.709677,0,0,0,0,0,0,7555,19192,4308,100,100,'Number of leaves: 19\nSize of the tree: 21\n',21,19,19
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,275,31,23,8,0,74.193548,25.806452,0,0,0.38651,0.437632,99.788444,99.992718,25.547654,25.544461,0.003193,0.824118,0.824015,0.000103,0.049949,0.001611,0.195512,1,23,1,8,0,0,0,0,0.741935,1,0.851852,?,0.5,0.741935,0.741935,0.741935,0.258065,0.258065,?,0.741935,?,?,0.5,0.617066,?,0.741935,0,0,0,0,0,0,3866,19192,4308,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,276,30,22,8,0,73.333333,26.666667,0,0,0.390097,0.442222,99.797724,100.00115,25.099248,25.099747,-0.000499,0.836642,0.836658,-0.000017,0.046581,0.001553,0.185586,1,22,1,8,0,0,0,0,0.733333,1,0.846154,?,0.5,0.733333,0.733333,0.733333,0.266667,0.266667,?,0.733333,?,?,0.5,0.608889,?,0.733333,0,0,0.015625,0,15.625,0,3866,19253,4247,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,276,30,21,9,0,70,30,0,0.042553,0.370762,0.43908,94.851453,99.290602,25.099248,24.618391,0.480857,0.836642,0.820613,0.016029,0.573764,0.019125,2.285982,0.909091,20,0.875,7,0.125,1,0.090909,2,0.740741,0.909091,0.816327,0.050252,0.633523,0.795517,0.7,0.665909,0.334091,0.3,0.632099,0.7,0.647124,0.050252,0.633523,0.696712,0.499072,0.7,0.001,0,0,0,0,0,7555,19253,4247,100,100,'Number of leaves: 19\nSize of the tree: 21\n',21,19,19
haberman-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260418.0439,276,30,22,8,0,73.333333,26.666667,0,0,0.390097,0.442222,99.797724,100.00115,25.099248,25.099747,-0.000499,0.836642,0.836658,-0.000017,0.046581,0.001553,0.185586,1,22,1,8,0,0,0,0,0.733333,1,0.846154,?,0.5,0.733333,0.733333,0.733333,0.266667,0.266667,?,0.733333,?,?,0.5,0.608889,?,0.733333,0,0,0,0,0,0,3866,19253,4247,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
